sys_enter_clock_nanosleep,sys_enter_close,sys_enter_epoll_pwait,sys_enter_epoll_wait,sys_enter_fcntl,sys_enter_futex,sys_enter_getegid,sys_enter_geteuid,sys_enter_getrandom,sys_enter_getuid,sys_enter_ioctl,sys_enter_lseek,sys_enter_madvise,sys_enter_mmap,sys_enter_mprotect,sys_enter_nanosleep,sys_enter_newfstat,sys_enter_newfstatat,sys_enter_openat,sys_enter_poll,sys_enter_prctl,sys_enter_pwrite64,sys_enter_read,sys_enter_readlink,sys_enter_recvmsg,sys_enter_rt_sigaction,sys_enter_sendmsg,sys_enter_splice,sys_enter_write,sys_enter_writev,label
0.0,1353.0,287.0,87.0,214.0,1517.0,170.0,171.0,276.0,188.0,44.0,2.0,6.0,218.0,110.0,444.0,1129.0,596.0,1373.0,289.0,274.0,0.0,1177.0,238.0,20.0,385.0,9.0,0.0,257.0,9.0,1
1.0,1346.0,435.0,69.0,199.0,1895.0,166.0,167.0,276.0,196.0,39.0,2.0,33.0,219.0,110.0,469.0,1104.0,690.0,1362.0,309.0,269.0,0.0,1145.0,240.0,16.0,385.0,8.0,0.0,267.0,5.0,1
0.0,1371.0,288.0,85.0,210.0,1562.0,170.0,171.0,277.0,206.0,44.0,2.0,6.0,221.0,112.0,445.0,1147.0,573.0,1394.0,315.0,273.0,0.0,1207.0,238.0,20.0,385.0,9.0,0.0,247.0,9.0,1
0.0,1358.0,281.0,69.0,197.0,1461.0,166.0,167.0,276.0,208.0,38.0,2.0,5.0,217.0,108.0,412.0,1123.0,676.0,1380.0,321.0,269.0,0.0,1179.0,238.0,12.0,385.0,5.0,0.0,261.0,5.0,1
0.0,1368.0,292.0,85.0,253.0,1680.0,170.0,171.0,304.0,212.0,43.0,4.0,7.0,222.0,196.0,412.0,1126.0,855.0,1380.0,455.0,273.0,2.0,1256.0,238.0,45.0,385.0,25.0,0.0,316.0,5.0,1
0.0,1349.0,267.0,78.0,201.0,8586.0,166.0,167.0,276.0,196.0,54.0,2.0,21.0,221.0,110.0,377.0,1111.0,720.0,1374.0,354.0,269.0,0.0,1185.0,238.0,42.0,385.0,19.0,0.0,289.0,5.0,1
0.0,2622.0,515.0,133.0,388.0,2176.0,333.0,335.0,553.0,369.0,53.0,4.0,10.0,436.0,220.0,758.0,2164.0,940.0,2651.0,357.0,538.0,0.0,2077.0,476.0,14.0,770.0,6.0,0.0,385.0,14.0,1
0.0,1603.0,390.0,218.0,241.0,4564.0,171.0,172.0,277.0,197.0,109.0,26.0,85.0,243.0,871.0,474.0,1324.0,747.0,1595.0,2066.0,273.0,4.0,2083.0,239.0,1016.0,392.0,471.0,0.0,1719.0,27.0,1
0.0,1378.0,265.0,91.0,197.0,1780.0,167.0,168.0,276.0,203.0,44.0,2.0,85.0,217.0,118.0,437.0,1119.0,722.0,1429.0,469.0,270.0,0.0,1185.0,273.0,173.0,385.0,36.0,0.0,269.0,9.0,1
0.0,1361.0,284.0,71.0,212.0,1502.0,170.0,171.0,276.0,200.0,38.0,2.0,45.0,216.0,108.0,449.0,1141.0,567.0,1387.0,367.0,273.0,0.0,1188.0,238.0,140.0,385.0,9.0,0.0,251.0,5.0,1
0.0,1452.0,293.0,99.0,211.0,1564.0,245.0,246.0,291.0,281.0,41.0,2.0,56.0,222.0,110.0,405.0,1230.0,831.0,1497.0,435.0,348.0,0.0,1416.0,298.0,203.0,385.0,63.0,0.0,290.0,5.0,1
0.0,2718.0,534.0,162.0,399.0,2359.0,408.0,410.0,567.0,444.0,58.0,4.0,11.0,436.0,218.0,834.0,2266.0,1317.0,2773.0,502.0,613.0,0.0,2312.0,524.0,208.0,770.0,62.0,0.0,445.0,14.0,1
1.0,1354.0,359.0,70.0,197.0,2007.0,166.0,167.0,276.0,202.0,41.0,2.0,79.0,228.0,130.0,546.0,1112.0,625.0,1365.0,391.0,270.0,2.0,1166.0,240.0,141.0,385.0,8.0,0.0,293.0,5.0,1
0.0,1363.0,276.0,110.0,203.0,1611.0,166.0,167.0,276.0,208.0,48.0,2.0,10.0,217.0,156.0,386.0,1123.0,691.0,1380.0,519.0,269.0,0.0,1209.0,238.0,371.0,385.0,7.0,0.0,333.0,82.0,1
0.0,1369.0,306.0,76.0,197.0,1488.0,168.0,169.0,276.0,216.0,42.0,2.0,5.0,217.0,110.0,396.0,1131.0,719.0,1392.0,404.0,269.0,0.0,1192.0,238.0,143.0,385.0,7.0,0.0,248.0,5.0,1
0.0,1359.0,380.0,91.0,257.0,1697.0,168.0,169.0,291.0,198.0,42.0,4.0,7.0,221.0,114.0,464.0,1112.0,682.0,1368.0,510.0,273.0,3.0,1229.0,238.0,178.0,385.0,29.0,0.0,321.0,5.0,1
0.0,1354.0,284.0,85.0,197.0,5001.0,167.0,168.0,276.0,209.0,47.0,2.0,5.0,224.0,108.0,385.0,1117.0,618.0,1369.0,333.0,269.0,0.0,1169.0,238.0,20.0,385.0,9.0,0.0,256.0,9.0,1
0.0,1362.0,275.0,120.0,214.0,1573.0,170.0,171.0,276.0,194.0,44.0,2.0,6.0,224.0,110.0,446.0,1135.0,728.0,1380.0,490.0,273.0,0.0,1266.0,238.0,233.0,385.0,55.0,0.0,348.0,9.0,1
0.0,2643.0,524.0,125.0,410.0,2264.0,340.0,342.0,552.0,376.0,40.0,4.0,44.0,433.0,218.0,830.0,2216.0,963.0,2694.0,550.0,546.0,0.0,2208.0,476.0,172.0,770.0,39.0,0.0,467.0,10.0,1
0.0,1342.0,300.0,86.0,197.0,1498.0,166.0,167.0,276.0,190.0,44.0,2.0,37.0,216.0,108.0,399.0,1105.0,540.0,1356.0,352.0,269.0,0.0,1141.0,238.0,130.0,385.0,5.0,0.0,244.0,9.0,1
0.0,1376.0,344.0,69.0,210.0,1523.0,170.0,171.0,276.0,212.0,38.0,2.0,5.0,218.0,110.0,410.0,1153.0,731.0,1408.0,387.0,273.0,0.0,1210.0,238.0,139.0,385.0,9.0,0.0,236.0,5.0,1
0.0,1368.0,342.0,80.0,216.0,1562.0,171.0,172.0,277.0,201.0,39.0,2.0,20.0,219.0,110.0,458.0,1144.0,628.0,1391.0,422.0,273.0,0.0,1227.0,238.0,157.0,385.0,19.0,0.0,282.0,5.0,1
